gt,prompt
瑕疵品,定義為'有殘損的産品'的是什麼，請用一個詞回答？
不實廣告,定義為'指廣告中的信息或者承諾與實際商品或服務的性能，效果等存在誤導消費者的不真實情況'的是什麼，請用一個詞回答？
零碼,定義為'指某一款商品的某一或幾個尺碼或顏色等規格已經售罄，無法提供完整規格選擇的商品'的是什麼，請用一個詞回答？
中盤商/中盤,定義為'在生産商和消費者之間進行商品或服務買賣的個人或公司，他們購買大量商品並將其分銷給零售商或直接給消費者'的是什麼，請用一個詞回答？
不二價,定義為'説出或標出的商品價格不變，不討價還價'的是什麼，請用一個詞回答？
保存期限,定義為'指在規定的儲存條件下，産品能保持其應有品質的時間期限'的是什麼，請用一個詞回答？
保固,定義為'指廠商或銷售商對其出售的産品在一定期限內出現質量問題，承諾免費維修或更換的服務承諾'的是什麼，請用一個詞回答？
網路購物,定義為'通過互聯網使用電子支付方式購買商品或服務的活動'的是什麼，請用一個詞回答？
自動販賣機,定義為'一種無需人工操作，通過投幣，刷卡等方式自動出售商品的機器'的是什麼，請用一個詞回答？
連身裙,定義為'一種女性服裝，從肩部或頸部一直延伸到腿部的一件式裙子'的是什麼，請用一個詞回答？
褲裙,定義為'一種結合了裙子和褲子兩種設計的服裝，看起來像裙子，但實際上有褲腿'的是什麼，請用一個詞回答？
蝴蝶䄂,定義為'一種設計寬鬆，袖子和身體部分連在一起，形狀像蝙蝠翅膀的上衣'的是什麼，請用一個詞回答？
衛生褲,定義為'一種在秋冬季節穿着的，用以保暖的內褲'的是什麼，請用一個詞回答？
衛生衣,定義為'在秋季穿的，用於保暖的內衣'的是什麼，請用一個詞回答？
熱褲,定義為'一種緊貼身體，長度通常在大腿中部或以上的短褲'的是什麼，請用一個詞回答？
楔型鞋,定義為'鞋底前低後高，呈坡狀'的是什麼，請用一個詞回答？
綠花椰菜,定義為'一種常見的蔬菜，其綠色的花朵和莖部都可以食用，富含多種營養素'的是什麼，請用一個詞回答？
太白粉,定義為'一種由植物細胞製造並儲存的多糖，主要用作能量儲存物質'的是什麼，請用一個詞回答？
鳳梨,定義為'一種原産勒南美洲巴西、巴拉圭個亞馬遜河流域一帶個熱帶水果，乃朝已勒熱帶地區廣泛種植'的是什麼，請用一個詞回答？
芭樂,定義為'一種熱帶水果，其果實內含有大量的小顆粒，每個顆粒都包裹在透明的果肉中'的是什麼，請用一個詞回答？
柳橙,定義為'一種常見的柑橘類水果，呈圓形，外皮爲橙色'的是什麼，請用一個詞回答？
羊大骨,定義為'指羊的脊椎骨和附着在上麵的肉，是一種常見的烹飪食材，尤其在燒烤和火鍋中很受歡迎'的是什麼，請用一個詞回答？
鮭魚,定義為'對漁業有很高商業價值的數種鮭形目鮭科鮭亞科的廣鹽性條鰭魚的通稱'的是什麼，請用一個詞回答？
鮪魚,定義為'一種海水魚類，屬於鯖科下面的金槍魚族'的是什麼，請用一個詞回答？
蚵仔,定義為'一種生活在海洋或淡水中的貝殼類動物，以其肉質鮮美和能夠産生珍珠而聞名'的是什麼，請用一個詞回答？
數位電視,定義為'一種使用數字信號進行廣播的電視技術，提供了比傳統模擬電視更高的畫質和聲音質量'的是什麼，請用一個詞回答？
錄影機,定義為'用來將電視影像和聲音記錄下來，並加以重新播放出的機器'的是什麼，請用一個詞回答？
數位相機,定義為'一種利用電子感測器把光學影像轉換成電子數據的照相機'的是什麼，請用一個詞回答？
衛生棉,定義為'婦女經期使用的衛生用品'的是什麼，請用一個詞回答？
衛生套/保險套,定義為'一種護套形的屏障器具，主要應用於性交過程中，用以減低感染性傳播疾病和女性懷孕的風險'的是什麼，請用一個詞回答？
原子筆,定義為'現代的一種書寫工具，利用筆桿末端的一顆走珠來分配墨水，使書寫者不用像在使用鋼筆一樣時常抽墨水補充'的是什麼，請用一個詞回答？
OK繃,定義為'一種小型簡易的醫護用品，常使用在一些較小的傷口上，具有止血作用'的是什麼，請用一個詞回答？
三温暖,定義為'指在封閉房間內用蒸氣或乾熱對人體理療的過程，使人大量出汗'的是什麼，請用一個詞回答？
影本/複印品,定義為'通過複印機復制原始文件或圖片所得到的副本'的是什麼，請用一個詞回答？
陸胞證,定義為'大陸居民往來臺灣陸胞證的簡稱'的是什麼，請用一個詞回答？
等待線,定義為'距離營業窗又或櫃臺前一米遠的地面上畫出的橫線'的是什麼，請用一個詞回答？
空服人員,定義為'在飛機上負責為乘客提供服務和確保飛行安全的工作人員'的是什麼，請用一個詞回答？
機場巴士,定義為'往返市內與機場的接送旅客的專用客車'的是什麼，請用一個詞回答？
空中巴士,定義為'一家總部位於歐洲的全球領先的飛機製造公司'的是什麼，請用一個詞回答？
電聯車/電車組,定義為'時速在200~250公里的鐵路線路'的是什麼，請用一個詞回答？
平快車,定義為'車次沒有用字母表示類別'的是什麼，請用一個詞回答？
鐵路警察,定義為'火車上負責治安保衛工作的警察'的是什麼，請用一個詞回答？
路警,定義為'負責鐵路安全保衛工作的警察'的是什麼，請用一個詞回答？
磁浮列車,定義為'利用電磁作用力，在軌道上方懸浮、高速前進的列車'的是什麼，請用一個詞回答？
旅客資訊中心,定義為'爲旅客提供旅行信息建議和幫助的服務設施'的是什麼，請用一個詞回答？
月臺,定義為'供乘客上下車或等待交通工具的地方，常見於火車站、公交站'的是什麼，請用一個詞回答？
月臺票,定義為'一種讓持票者有權在火車站的站臺上接送乘客但不乘坐火車的票'的是什麼，請用一個詞回答？
捷運,定義為'一種在地下或地面上運行的城市公共交通工具'的是什麼，請用一個詞回答？
月臺門,定義為'月臺門是一種用於阻擋電磁波傳播的特殊門。'的是什麼，請用一個詞回答？
轉運站,定義為'指在運輸過程中，貨物或者人員需要暫時停留，更換交通工具或者方向的地方'的是什麼，請用一個詞回答？
巴士轉運站,定義為'一個集中了多條公交線路的交通節點，乘客可以在此站點換乘不同的公交線路'的是什麼，請用一個詞回答？
大衆運輸,定義為'指由政府或私人公司提供的，供公衆使用的大衆運輸服務，如公交車'的是什麼，請用一個詞回答？
公車,定義為'一種公共交通工具，主要用於城市內部或城市之間的乘客運輸'的是什麼，請用一個詞回答？
車掌,定義為'在電影院、火車站、公交站等地方負責售賣票據的工作人員'的是什麼，請用一個詞回答？
博愛座,定義為'公共交通工具上爲有需要的乘客群體如老人、兒童、病人劃定的座位'的是什麼，請用一個詞回答？
交流道,定義為'一種交通樞紐設施，通過設置不同層級的橋梁使得交叉的道路能夠互不幹擾地交通'的是什麼，請用一個詞回答？
平交道,定義為'鐵路和平面道路交叉的地方'的是什麼，請用一個詞回答？
圓環,定義為'指交叉路口中間分流車輛的環形島'的是什麼，請用一個詞回答？
交通錐,定義為'一種用於警告和指示的安全設施，通常在道路施工，交通管製等場所使用'的是什麼，請用一個詞回答？
紐澤西護欄,定義為'設置在道路中間或兩側，用於隔離車道，保護行人和非機動車輛安全的交通設施'的是什麼，請用一個詞回答？
尖峰畤刻,定義為'指在一定時間周期內相關服務的使用頻率極高，以至於出現擁塞或服務質量降低的一段時間'的是什麼，請用一個詞回答？
計程車,定義為'一種提供有償載客服務的公共交通工具'的是什麼，請用一個詞回答？
搭計程車,定義為'通常指打出租车'的是什麼，請用一個詞回答？
起跳價,定義為'指服務或商品的最低收費標準，即無論服務或商品的使用量如何，都需要支付的最低費用'的是什麼，請用一個詞回答？
交通車,定義為'指按照固定的時間和路線運行，用於接送員工，學生等特定群體的交通工具'的是什麼，請用一個詞回答？
箱型車,定義為'一種中小型的，通常用於運輸貨物或者人員的封閉式汽車'的是什麼，請用一個詞回答？
義警,定義為'協助公安工作的警務輔助人員'的是什麼，請用一個詞回答？
客運汽車,定義為'一種設計用於長距離旅行的大型公共交通工具'的是什麼，請用一個詞回答？
家庭車,定義為'個人或家庭擁有並用於個人或家庭出行的汽車'的是什麼，請用一個詞回答？
白牌車,定義為'指未經過正規注冊或未取得合法營運許可，私自從事載客或貨運活動的非法出租車'的是什麼，請用一個詞回答？
露營車,定義為'一種具有居家必備基本設施的汽車，俗稱“車輪上的家”'的是什麼，請用一個詞回答？
聯結车,定義為'一種沒有動力，需要由汽車或其他動力車輛牽引的車輛'的是什麼，請用一個詞回答？
腳踏車,定義為'一種有兩個輪子，由人力腳踏驅動的交通工具'的是什麼，請用一個詞回答？
越野車,定義為'一種特殊設計用於山地騎行的自行車，具有強大的越野能力和耐用性'的是什麼，請用一個詞回答？
機車,定義為'一種兩輪或三輪的機動車輛，主要用於個人或小型貨物的運輸'的是什麼，請用一個詞回答？
速可達,定義為'一種結合了自行車踏板和摩托車動力系統的交通工具'的是什麼，請用一個詞回答？
行車距離,定義為'指一輛車與前方車輛的距離'的是什麼，請用一個詞回答？
交通堵塞,定義為'指由於車輛過多或道路狀況不佳，導緻車輛無法正常，順暢地行駛的情況'的是什麼，請用一個詞回答？
追撞,定義為'指一輛車在行駛過程中，由於距離前車過近或反應不及，撞上前車的尾部的交通事故'的是什麼，請用一個詞回答？
酒測器,定義為'一種用於檢測人體呼出氣體中酒精含量的設備，常用於酒駕檢測'的是什麼，請用一個詞回答？
駕訓班,定義為'一種教育機構，專門負責教授和訓練學員駕駛技術，幫助他們獲取駕駛執照'的是什麼，請用一個詞回答？
違規記點,定義為'一種對違反規定或行爲不當的個體進行懲罰的製度，通常以積累一定分數後會受到相應的處罰'的是什麼，請用一個詞回答？
罰鍰,定義為'一種法律製裁手段，指因違反法律，法規或規章製度而被要求支付一定金額的處罰'的是什麼，請用一個詞回答？
後車廂,定義為'汽車後部用於存放行李或其他物品的儲物空間'的是什麼，請用一個詞回答？
後照鏡,定義為'裝置在車內或車外兩側專供司機觀察後麵情況的鏡子'的是什麼，請用一個詞回答？
邊燈,定義為'車輛上用來標識車輛輪廓和大小的燈光設備'的是什麼，請用一個詞回答？
後車燈,定義為'汽車尾部的燈，用於在夜間或視線不好的情況下，提醒後方的車輛和行人自己車輛的存在'的是什麼，請用一個詞回答？
方向燈,定義為'汽車上用來指示車輛將要改變行駛方向的信號燈'的是什麼，請用一個詞回答？
入擋,定義為'指在駕駛汽車時，通過改變汽車的傳動裝置中的齒輪比例，以適應汽車行駛的不同速度和路況'的是什麼，請用一個詞回答？
退擋,定義為'指在駕駛過程中，爲了適應路況或車速變化，將汽車的變速器從高擋位調整到低擋位的操作'的是什麼，請用一個詞回答？
自動排擋,定義為'一種汽車變速器，它可以自動改變汽車的齒輪比例，無需駕駛員手動切換'的是什麼，請用一個詞回答？
手動排擋,定義為'一種汽車傳動繫統，駕駛員需要手動切換汽車的檔位'的是什麼，請用一個詞回答？
廢氣,定義為'指汽車、飛機等燃燒燃料後排放出的廢氣'的是什麼，請用一個詞回答？
觀光局,定義為'一個政府部門，負責規劃，管理和推廣一個地區或國家的旅遊業務'的是什麼，請用一個詞回答？
觀光勝地,定義為'指因其自然風光、曆史文化、藝術建築等特色吸引大量遊客前來參觀的地方'的是什麼，請用一個詞回答？
徒步區,定義為'指僅允許行人步行的區域'的是什麼，請用一個詞回答？
共乘,定義為'同路的人拼湊起來共同乘坐一輛車，費用分攤'的是什麼，請用一個詞回答？
協力車,定義為'一種設計有兩個座位和兩套腳踏裝置，可以由兩人同時騎行的自行車'的是什麼，請用一個詞回答？
𣘗𡑔絰理,定義為'酒店或其他服務行業中負責監督和協調前颱接待，客戶服務和日常運營活動的管理人員'的是什麼，請用一個詞回答？
住商大樓,定義為'兼有商業和居住兩種功用的樓房，一般一樓是店麵，樓上可住人'的是什麼，請用一個詞回答？
樓中樓,定義為'在同一單元內分為上下兩個樓層的住宅戶型'的是什麼，請用一個詞回答？
門眼/ 防盗眼,定義為'一種安裝在房門上，使得屋內的人無需開門就可以觀察到屋外的情況，從而保証自身的安全的小型光學儀器'的是什麼，請用一個詞回答？
房仲業,定義為'一種服務，幫助買家和賣家進行房地産交易的中間人或公司'的是什麼，請用一個詞回答？
液化瓦斯,定義為'一種通過壓縮或冷卻將氣體轉化為液體的燃料'的是什麼，請用一個詞回答？
瓦斯鋼瓶,定義為'一種用於儲存液化石油氣或其他液化氣體的容器'的是什麼，請用一個詞回答？
瓦斯爐,定義為'一種使用煤氣作為燃料的烹飪設備'的是什麼，請用一個詞回答？
夭然瓦斯管道,定義為'用於輸送燃氣（如天然氣，液化石油氣等）的管道'的是什麼，請用一個詞回答？
瓦斯表,定義為'計算燃氣使用數量的儀表'的是什麼，請用一個詞回答？
建築廢棄物,定義為'建造或裝修房屋所産生的垃圾'的是什麼，請用一個詞回答？
抽風機,定義為'一種用於將室內的空氣排出到室外，以改善室內空氣質量的設備'的是什麼，請用一個詞回答？
瑕疵品,定義為'有殘損的産品'的是什麼，請用一個詞回答？
不實廣告,定義為'指廣告中的信息或者承諾與實際商品或服務的性能，效果等存在誤導消費者的不真實情況'的是什麼，請用一個詞回答？
零碼,定義為'指某一款商品的某一或幾個尺碼或顏色等規格已經售罄，無法提供完整規格選擇的商品'的是什麼，請用一個詞回答？
中盤商/中盤,定義為'在生産商和消費者之間進行商品或服務買賣的個人或公司，他們購買大量商品並將其分銷給零售商或直接給消費者'的是什麼，請用一個詞回答？
不二價,定義為'説出或標出的商品價格不變，不討價還價'的是什麼，請用一個詞回答？
保存期限,定義為'指在規定的儲存條件下，産品能保持其應有品質的時間期限'的是什麼，請用一個詞回答？
保固,定義為'指廠商或銷售商對其出售的産品在一定期限內出現質量問題，承諾免費維修或更換的服務承諾'的是什麼，請用一個詞回答？
網路購物,定義為'通過互聯網使用電子支付方式購買商品或服務的活動'的是什麼，請用一個詞回答？
自動販賣機,定義為'一種無需人工操作，通過投幣，刷卡等方式自動出售商品的機器'的是什麼，請用一個詞回答？
連身裙,定義為'一種女性服裝，從肩部或頸部一直延伸到腿部的一件式裙子'的是什麼，請用一個詞回答？
褲裙,定義為'一種結合了裙子和褲子兩種設計的服裝，看起來像裙子，但實際上有褲腿'的是什麼，請用一個詞回答？
蝴蝶䄂,定義為'一種設計寬鬆，袖子和身體部分連在一起，形狀像蝙蝠翅膀的上衣'的是什麼，請用一個詞回答？
衛生褲,定義為'一種在秋冬季節穿着的，用以保暖的內褲'的是什麼，請用一個詞回答？
衛生衣,定義為'在秋季穿的，用於保暖的內衣'的是什麼，請用一個詞回答？
熱褲,定義為'一種緊貼身體，長度通常在大腿中部或以上的短褲'的是什麼，請用一個詞回答？
楔型鞋,定義為'鞋底前低後高，呈坡狀'的是什麼，請用一個詞回答？
綠花椰菜,定義為'一種常見的蔬菜，其綠色的花朵和莖部都可以食用，富含多種營養素'的是什麼，請用一個詞回答？
太白粉,定義為'一種由植物細胞製造並儲存的多糖，主要用作能量儲存物質'的是什麼，請用一個詞回答？
鳳梨,定義為'一種原産勒南美洲巴西、巴拉圭個亞馬遜河流域一帶個熱帶水果，乃朝已勒熱帶地區廣泛種植'的是什麼，請用一個詞回答？
芭樂,定義為'一種熱帶水果，其果實內含有大量的小顆粒，每個顆粒都包裹在透明的果肉中'的是什麼，請用一個詞回答？
柳橙,定義為'一種常見的柑橘類水果，呈圓形，外皮爲橙色'的是什麼，請用一個詞回答？
羊大骨,定義為'指羊的脊椎骨和附着在上麵的肉，是一種常見的烹飪食材，尤其在燒烤和火鍋中很受歡迎'的是什麼，請用一個詞回答？
鮭魚,定義為'對漁業有很高商業價值的數種鮭形目鮭科鮭亞科的廣鹽性條鰭魚的通稱'的是什麼，請用一個詞回答？
鮪魚,定義為'一種海水魚類，屬於鯖科下面的金槍魚族'的是什麼，請用一個詞回答？
蚵仔,定義為'一種生活在海洋或淡水中的貝殼類動物，以其肉質鮮美和能夠産生珍珠而聞名'的是什麼，請用一個詞回答？
數位電視,定義為'一種使用數字信號進行廣播的電視技術，提供了比傳統模擬電視更高的畫質和聲音質量'的是什麼，請用一個詞回答？
錄影機,定義為'用來將電視影像和聲音記錄下來，並加以重新播放出的機器'的是什麼，請用一個詞回答？
數位相機,定義為'一種利用電子感測器把光學影像轉換成電子數據的照相機'的是什麼，請用一個詞回答？
衛生棉,定義為'婦女經期使用的衛生用品'的是什麼，請用一個詞回答？
衛生套/保險套,定義為'一種護套形的屏障器具，主要應用於性交過程中，用以減低感染性傳播疾病和女性懷孕的風險'的是什麼，請用一個詞回答？
原子筆,定義為'現代的一種書寫工具，利用筆桿末端的一顆走珠來分配墨水，使書寫者不用像在使用鋼筆一樣時常抽墨水補充'的是什麼，請用一個詞回答？
OK繃,定義為'一種小型簡易的醫護用品，常使用在一些較小的傷口上，具有止血作用'的是什麼，請用一個詞回答？
三温暖,定義為'指在封閉房間內用蒸氣或乾熱對人體理療的過程，使人大量出汗'的是什麼，請用一個詞回答？
影本/複印品,定義為'通過複印機復制原始文件或圖片所得到的副本'的是什麼，請用一個詞回答？
陸胞證,定義為'大陸居民往來臺灣陸胞證的簡稱'的是什麼，請用一個詞回答？
等待線,定義為'距離營業窗又或櫃臺前一米遠的地面上畫出的橫線'的是什麼，請用一個詞回答？
空服人員,定義為'在飛機上負責為乘客提供服務和確保飛行安全的工作人員'的是什麼，請用一個詞回答？
機場巴士,定義為'往返市內與機場的接送旅客的專用客車'的是什麼，請用一個詞回答？
空中巴士,定義為'一家總部位於歐洲的全球領先的飛機製造公司'的是什麼，請用一個詞回答？
電聯車/電車組,定義為'時速在200~250公里的鐵路線路'的是什麼，請用一個詞回答？
平快車,定義為'車次沒有用字母表示類別'的是什麼，請用一個詞回答？
鐵路警察,定義為'火車上負責治安保衛工作的警察'的是什麼，請用一個詞回答？
路警,定義為'負責鐵路安全保衛工作的警察'的是什麼，請用一個詞回答？
磁浮列車,定義為'利用電磁作用力，在軌道上方懸浮、高速前進的列車'的是什麼，請用一個詞回答？
旅客資訊中心,定義為'爲旅客提供旅行信息建議和幫助的服務設施'的是什麼，請用一個詞回答？
月臺,定義為'供乘客上下車或等待交通工具的地方，常見於火車站、公交站'的是什麼，請用一個詞回答？
月臺票,定義為'一種讓持票者有權在火車站的站臺上接送乘客但不乘坐火車的票'的是什麼，請用一個詞回答？
捷運,定義為'一種在地下或地面上運行的城市公共交通工具'的是什麼，請用一個詞回答？
月臺門,定義為'月臺門是一種用於阻擋電磁波傳播的特殊門。'的是什麼，請用一個詞回答？
轉運站,定義為'指在運輸過程中，貨物或者人員需要暫時停留，更換交通工具或者方向的地方'的是什麼，請用一個詞回答？
巴士轉運站,定義為'一個集中了多條公交線路的交通節點，乘客可以在此站點換乘不同的公交線路'的是什麼，請用一個詞回答？
大衆運輸,定義為'指由政府或私人公司提供的，供公衆使用的大衆運輸服務，如公交車'的是什麼，請用一個詞回答？
公車,定義為'一種公共交通工具，主要用於城市內部或城市之間的乘客運輸'的是什麼，請用一個詞回答？
車掌,定義為'在電影院、火車站、公交站等地方負責售賣票據的工作人員'的是什麼，請用一個詞回答？
博愛座,定義為'公共交通工具上爲有需要的乘客群體如老人、兒童、病人劃定的座位'的是什麼，請用一個詞回答？
交流道,定義為'一種交通樞紐設施，通過設置不同層級的橋梁使得交叉的道路能夠互不幹擾地交通'的是什麼，請用一個詞回答？
平交道,定義為'鐵路和平面道路交叉的地方'的是什麼，請用一個詞回答？
圓環,定義為'指交叉路口中間分流車輛的環形島'的是什麼，請用一個詞回答？
交通錐,定義為'一種用於警告和指示的安全設施，通常在道路施工，交通管製等場所使用'的是什麼，請用一個詞回答？
紐澤西護欄,定義為'設置在道路中間或兩側，用於隔離車道，保護行人和非機動車輛安全的交通設施'的是什麼，請用一個詞回答？
